-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,b,b,c,b,c,c,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,b,b,b,b,b,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,d,b,b,b,c,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,d,d,b,b,c,c,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,b,d,d,d,b,b,c,c,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,b,b,b,d,d,b,b,b,c,c,b,b,b,b,b,b,b,c,-,-
-,-,-,-,-,-,-,-,-,-,d,d,d,d,b,b,b,b,b,d,b,b,b,b,b,d,d,d,d,d,d,d,c,c,-
-,-,-,-,-,-,-,-,-,d,d,d,b,b,b,b,b,b,b,b,b,b,b,b,d,-,-,-,-,-,-,-,d,d,-
-,-,-,-,-,-,-,-,d,d,d,d,b,b,b,b,b,b,b,b,b,b,b,b,b,c,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,d,d,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,c,c,c,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,c,d,b,b,b,b,c,c,c,b,b,b,b,b,b,b,b,c,b,b,c,c,c,c,c,-,-
-,-,-,-,-,-,-,-,-,c,b,b,b,b,c,c,d,b,b,b,b,b,b,b,c,b,b,b,b,b,b,b,b,c,-
-,-,-,-,-,-,-,-,-,-,c,c,b,c,c,d,d,b,b,b,b,b,b,b,c,-,-,-,-,-,-,-,b,b,-
-,-,-,-,-,-,-,-,-,-,-,-,c,d,d,d,d,b,b,b,b,b,b,c,c,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,d,d,b,b,b,b,c,c,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,b,d,d,b,b,b,c,c,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,d,d,b,b,b,b,b,d,b,b,c,c,c,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,d,d,b,b,b,b,b,b,b,b,b,c,c,c,c,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,d,d,d,b,b,b,b,b,b,b,b,b,c,b,c,c,c,c,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,d,b,d,b,b,b,b,b,c,b,b,b,c,b,b,c,b,c,c,c,c,-,-,-,-,-,-
-,-,-,-,-,-,-,-,d,d,b,b,b,b,b,c,c,b,b,b,b,b,b,c,b,b,b,b,c,c,c,c,c,-,-
-,-,-,-,-,-,-,-,-,c,b,b,b,b,c,c,c,b,b,b,b,b,c,b,b,b,b,b,b,b,b,b,c,c,-
-,-,-,-,-,-,-,-,-,-,c,b,c,c,c,b,b,b,b,b,b,b,d,-,-,-,-,-,-,-,-,-,b,b,-
-,-,-,-,-,-,-,-,-,-,-,c,c,c,c,b,b,b,b,b,b,d,d,d,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,c,c,c,b,b,b,b,b,b,b,d,d,d,b,b,b,b,b,b,b,b,c,-,-
-,-,d,d,b,b,b,b,b,c,c,c,b,b,b,b,b,b,b,b,d,d,d,d,d,d,d,d,d,d,d,d,d,c,-
-,d,d,b,b,b,d,d,b,b,b,b,b,b,b,b,b,b,b,d,d,d,d,d,-,-,-,-,-,-,-,-,d,d,-
-,b,b,b,b,b,d,d,b,b,b,b,c,c,b,b,b,b,d,d,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-
-,b,b,b,b,-,-,b,b,c,c,c,c,c,c,c,b,b,b,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,d,b,d,a,-,b,c,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,d,d,b,b,c,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,d,b,b,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,b,b,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,b,b,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
