-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,b,b,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,b,b,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,b,b,d,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,c,b,b,d,d,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,c,b,-,a,d,b,d,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,b,b,b,c,c,c,c,c,c,c,b,b,-,-,b,b,b,b,-
-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,d,b,b,b,b,c,c,b,b,b,b,d,d,b,b,b,b,b,-
-,d,d,-,-,-,-,-,-,-,-,d,d,d,d,d,b,b,b,b,b,b,b,b,b,b,b,d,d,b,b,b,d,d,-
-,c,d,d,d,d,d,d,d,d,d,d,d,d,d,b,b,b,b,b,b,b,b,c,c,c,b,b,b,b,b,d,d,-,-
-,-,c,b,b,b,b,b,b,b,b,d,d,d,b,b,b,b,b,b,b,c,c,c,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,d,d,d,b,b,b,b,b,b,c,c,c,c,-,-,-,-,-,-,-,-,-,-,-
-,b,b,-,-,-,-,-,-,-,-,-,d,b,b,b,b,b,b,b,c,c,c,b,c,-,-,-,-,-,-,-,-,-,-
-,c,c,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,c,c,c,b,b,b,b,c,-,-,-,-,-,-,-,-,-
-,-,c,c,c,c,c,b,b,b,b,c,b,b,b,b,b,b,c,c,b,b,b,b,b,d,d,-,-,-,-,-,-,-,-
-,-,-,-,-,-,c,c,c,c,b,c,b,b,c,b,b,b,c,b,b,b,b,b,d,b,d,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,c,c,c,c,b,c,b,b,b,b,b,b,b,b,b,d,d,d,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,c,c,c,c,b,b,b,b,b,b,b,b,b,d,d,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,c,c,c,b,b,d,b,b,b,b,b,d,d,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,c,c,b,b,b,d,d,b,d,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,c,c,b,b,b,b,d,d,d,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,c,c,b,b,b,b,b,b,d,d,d,d,c,-,-,-,-,-,-,-,-,-,-,-,-
-,b,b,-,-,-,-,-,-,-,c,b,b,b,b,b,b,b,d,d,c,c,b,c,c,-,-,-,-,-,-,-,-,-,-
-,c,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b,b,d,c,c,b,b,b,b,c,-,-,-,-,-,-,-,-,-
-,-,c,c,c,c,c,b,b,c,b,b,b,b,b,b,b,b,c,c,c,b,b,b,b,d,c,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,c,c,c,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,d,d,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,c,b,b,b,b,b,b,b,b,b,b,b,b,b,d,d,d,d,-,-,-,-,-,-,-,-
-,d,d,-,-,-,-,-,-,-,d,b,b,b,b,b,b,b,b,b,b,b,b,d,d,d,-,-,-,-,-,-,-,-,-
-,c,c,d,d,d,d,d,d,d,b,b,b,b,b,d,b,b,b,b,b,d,d,d,d,-,-,-,-,-,-,-,-,-,-
-,-,c,b,b,b,b,b,b,b,c,c,b,b,b,d,d,b,b,b,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,c,c,b,b,d,d,d,b,d,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,c,c,b,b,d,d,d,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,c,b,b,b,d,d,d,d,d,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,c,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,c,c,b,c,b,b,b,b,b,b,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,b,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
